frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,602.5641250610352,-6.903111934661865,0.0009202202199958265,615.0380325317383,-13.839987516403198,0.0006464443285949528,598.7997436523438,-15.152252912521362,0.00043888704385608435,649.0576934814453,-37.01801419258118,0.0010000000474974513,658.9171600341797,-49.28109526634216,0.0010000000474974513,728.7171173095703,36.41798973083496,0.0010000000474974513,665.4560089111328,-0.1465878775343299,0.0010000000474974513,589.7093200683594,100.82196950912476,0.0010000000474974513,582.2754287719727,59.81938362121582,0.0010000000474974513,471.2101745605469,58.533278703689575,0.0010000000474974513,483.1792449951172,58.09755206108093,0.0010000000474974513,608.6137771606445,195.48846244812012,0.6402407288551331,560.6895065307617,149.7304630279541,0.8800722360610962,413.4711456298828,208.97635459899902,0.6030870676040649,403.89434814453125,147.98538208007812,1.0103353261947632,351.10801696777344,307.21278190612793,0.5825312733650208,255.46880722045898,180.46051025390625,0.46434420347213745
2,645.2629089355469,-8.392886817455292,0.0001802944898372516,614.9958419799805,-17.436888813972473,0.0003075141867157072,656.7329406738281,-16.020367741584778,0.0003709790180437267,638.7679290771484,-46.92619442939758,0.0010000000474974513,663.9865112304688,-53.11736583709717,0.0010000000474974513,731.0389709472656,33.54108810424805,0.0010000000474974513,663.2748413085938,-25.14452040195465,0.0010000000474974513,668.9340972900391,157.77953624725342,0.0010000000474974513,552.8115463256836,38.286927938461304,0.0010000000474974513,603.2708358764648,169.42610263824463,0.0010000000474974513,464.21131134033203,40.40786147117615,0.0010000000474974513,569.389762878418,173.94893646240234,0.8692499399185181,534.6421051025391,113.10544967651367,0.737201988697052,384.8863983154297,198.65734577178955,0.9939149618148804,370.96458435058594,128.5435152053833,0.7064322829246521,342.06897735595703,290.44466972351074,0.720733642578125,230.7598876953125,153.19599151611328,0.3032218813896179
3,644.7938537597656,-7.30321079492569,0.00025915473815985024,617.2090530395508,-15.923480987548828,0.00024254010349977762,656.3752746582031,-13.888647258281708,0.0005426194402389228,640.8605194091797,-45.60620069503784,0.0010000000474974513,660.7689666748047,-49.55811023712158,0.0010000000474974513,737.1533203125,21.34467601776123,0.0010000000474974513,662.8384399414062,-32.104729413986206,0.0010000000474974513,669.4300079345703,155.2639389038086,0.0010000000474974513,562.9725646972656,30.81792712211609,0.0010000000474974513,607.1132278442383,166.60574913024902,0.0010000000474974513,465.52120208740234,34.126750230789185,0.0010000000474974513,576.7713165283203,169.01350021362305,1.0237079858779907,538.1225967407227,110.87538957595825,0.8152334094047546,382.06146240234375,193.76672744750977,0.9414962530136108,374.29107666015625,123.17145824432373,0.7954792976379395,344.9799346923828,289.39361572265625,0.6416440606117249,233.72600555419922,149.58300590515137,0.4069153666496277
4,645.2212524414062,-7.896730899810791,0.00016000564210116863,613.5897827148438,-17.518885731697083,0.00032291177194565535,655.9734344482422,-15.705091953277588,0.0003280540695413947,639.4807815551758,-47.665772438049316,0.0010000000474974513,662.2013092041016,-54.16001558303833,0.0010000000474974513,725.9482574462891,37.05134868621826,0.0010000000474974513,658.7698364257812,-24.104331135749817,0.0010000000474974513,667.2045135498047,159.2543077468872,0.0010000000474974513,558.6104583740234,38.49355459213257,0.0010000000474974513,603.2974624633789,173.23066234588623,0.0010000000474974513,467.3369598388672,36.63803458213806,0.0010000000474974513,574.927978515625,169.62687492370605,1.078206181526184,533.258171081543,113.95161151885986,0.8310602903366089,378.51314544677734,197.2803783416748,0.9193506836891174,370.8506393432617,122.53194808959961,0.8036370873451233,349.9812316894531,290.19993782043457,0.5697539448738098,240.84972381591797,165.60693740844727,0.32807457447052
5,642.6203155517578,-6.306381672620773,0.00015707917918916792,610.0313949584961,-14.624669551849365,0.0002744186494965106,653.0976104736328,-15.388716459274292,0.0003458363935351372,636.0581207275391,-49.97215747833252,0.0010000000474974513,657.3606872558594,-56.01776361465454,0.0010000000474974513,734.6636962890625,35.91564059257507,0.0010000000474974513,650.5436706542969,-24.36121165752411,0.0010000000474974513,668.9476013183594,164.04680728912354,0.0010000000474974513,548.8742065429688,49.093369245529175,0.0010000000474974513,599.3515014648438,181.07748985290527,0.0010000000474974513,449.3983840942383,48.55919122695923,0.0010000000474974513,579.1792297363281,183.01631927490234,0.6923704743385315,529.4199371337891,135.66115379333496,0.9531655311584473,374.854736328125,209.03278827667236,0.6844961047172546,370.62389373779297,137.7009916305542,1.0983448028564453,335.01575469970703,304.5607566833496,0.60707026720047,217.3112678527832,159.9830961227417,0.5574755072593689
6,594.7519683837891,-7.523285150527954,0.00017019177903421223,609.216423034668,-16.297597289085388,0.00018270863802172244,630.9604644775391,-23.23764145374298,4.8308160330634564e-05,634.6650695800781,-52.867058515548706,0.0010000000474974513,660.1634979248047,-59.51385498046875,0.0010000000474974513,732.7952575683594,32.878957986831665,0.0010000000474974513,649.6466064453125,-19.97908651828766,0.0010000000474974513,668.7804412841797,166.27927780151367,0.0010000000474974513,544.7170257568359,52.367974519729614,0.0010000000474974513,592.1789932250977,185.63748836517334,0.0010000000474974513,444.8248291015625,49.99772071838379,0.0010000000474974513,570.3775405883789,185.86019039154053,0.7455272674560547,521.5831756591797,139.55922603607178,0.9467567205429077,376.42810821533203,205.65057277679443,0.6997636556625366,369.7970962524414,137.25743293762207,1.1116892099380493,323.69510650634766,307.47236251831055,0.6629734039306641,200.03671646118164,165.4055643081665,0.5469706654548645
7,642.2247314453125,-6.6568878293037415,0.00015362272097263485,610.8617782592773,-15.572776794433594,0.00022878535673953593,653.7238311767578,-13.877235352993011,0.00031653500627726316,635.4246520996094,-49.68891978263855,0.0010000000474974513,660.3600311279297,-57.264955043792725,0.0010000000474974513,733.3441925048828,35.83774924278259,0.0010000000474974513,650.4583740234375,-22.888235449790955,0.0010000000474974513,670.0788116455078,164.9355411529541,0.0010000000474974513,548.0817794799805,46.23346209526062,0.0010000000474974513,596.7796325683594,181.46770477294922,0.0010000000474974513,448.72119903564453,42.782793045043945,0.0010000000474974513,576.2639236450195,180.14647006988525,0.7083700299263,528.8322830200195,126.42216682434082,0.8963267207145691,373.575439453125,203.56394290924072,0.7336883544921875,375.9933090209961,131.84911251068115,1.127650260925293,320.63976287841797,297.9099655151367,0.6408283710479736,212.9878044128418,157.67693996429443,0.6061082482337952
8,644.0921020507812,-7.2921426594257355,0.0003505023487377912,625.2885055541992,-16.285852789878845,0.00037919965689070523,656.1775207519531,-11.931512653827667,0.0007663920405320823,640.1483154296875,-43.29003095626831,0.0010000000474974513,664.3996429443359,-47.14974045753479,0.0010000000474974513,723.7905120849609,37.02575325965881,0.0010000000474974513,648.2207489013672,-17.37048089504242,0.0010000000474974513,668.4201812744141,160.04656791687012,0.0010000000474974513,540.7827377319336,36.95452094078064,0.0010000000474974513,595.9699630737305,174.92883682250977,0.0010000000474974513,452.7938461303711,36.76896572113037,0.0010000000474974513,566.0070037841797,173.4902286529541,0.6998510360717773,532.4921417236328,119.18533086776733,0.9239732027053833,363.2925033569336,195.38124561309814,0.7366967797279358,377.65541076660156,110.06886005401611,1.1600345373153687,328.74217987060547,291.08442306518555,0.5920736193656921,218.15851211547852,149.60802555084229,0.656968891620636
9,643.9274597167969,-9.959941506385803,0.00037707973388023674,624.5490264892578,-19.530959129333496,0.0005132577498443425,656.0395050048828,-14.372964799404144,0.0008170091896317899,639.8822784423828,-45.74547529220581,0.0010000000474974513,664.2025756835938,-50.346078872680664,0.0010000000474974513,708.0385589599609,44.03768062591553,0.0010000000474974513,643.5765838623047,-10.91722458600998,0.0010000000474974513,670.0778961181641,161.3045883178711,0.0010000000474974513,546.4772796630859,38.26324939727783,0.0010000000474974513,598.0655670166016,176.2199592590332,0.0010000000474974513,456.9394302368164,36.2341833114624,0.0010000000474974513,571.129035949707,175.80695629119873,0.6322970986366272,538.612174987793,124.56669330596924,0.8803328275680542,368.2257843017578,197.56340503692627,0.686604380607605,375.2501678466797,121.05391502380371,1.1162302494049072,331.94183349609375,289.3992805480957,0.583256721496582,221.04116439819336,163.4452772140503,0.5585514903068542
10,647.7963256835938,-8.203935027122498,0.00018122892652172595,614.6646118164062,-18.861284852027893,0.00018500976148061454,658.1885528564453,-15.869078636169434,0.0003257253556512296,638.6525726318359,-49.471596479415894,0.0010000000474974513,664.3978881835938,-54.845402240753174,0.0010000000474974513,741.4130401611328,34.09748554229736,0.0010000000474974513,668.4153747558594,-25.777718424797058,0.0010000000474974513,669.5524597167969,163.7373161315918,0.0010000000474974513,556.5339660644531,38.496025800704956,0.0010000000474974513,605.228271484375,175.56541442871094,0.0010000000474974513,467.23228454589844,32.769895792007446,0.0010000000474974513,574.4385528564453,174.0016222000122,0.6672256588935852,549.6171569824219,121.46106719970703,0.8469714522361755,370.8238220214844,193.26845169067383,0.753095269203186,387.5965881347656,107.70285844802856,1.110432744026184,328.75186920166016,289.1862201690674,0.5306258797645569,225.49444198608398,136.74435138702393,0.4597083628177643
